Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day
03/07/2001,Weezer,Jimmy Eat World / Crackout,Shepherds Bush Empire,£12.50,We stayed at Al's sister's house every night. Got t-shirts made with fanclub photos on.,Al / Dev / Stem / Lizz,N,,,03/07/2001Shepherd's Bush Empire,Shepherd's Bush Empire,2001,07,03
04/07/2001,Weezer,Jimmy Eat World / Crackout,Shepherds Bush Empire,£12.50,"Saw Pat afterward and got ticket signed, a guy had Mickey's bass, there's a photo of Dev with it",Al / Dev / Stem,N,,,04/07/2001Shepherd's Bush Empire,Shepherd's Bush Empire,2001,07,04
05/07/2001,Weezer,Jimmy Eat World / Crackout,Shepherds Bush Empire,£12.50,,Al / Dev / Stem,N,,,05/07/2001Shepherd's Bush Empire,Shepherd's Bush Empire,2001,07,05
09/03/2002,Crackout,,The Forum,£5.00,,Dev / Al / Kate,N,,,09/03/2002The Forum,The Forum,2002,03,09
24/03/2002,Weezer,,Brixton Academy,£18.50,,Dev / Stem / Al,N,,,24/03/2002Brixton Academy,Brixton Academy,2002,03,24
20/05/2002,Crackout,,Barfly Camden,£4.00,Booted,Dev / Al,N,,,20/05/2002Barfly,Barfly,2002,05,20
26/06/2002,Glastonbury Festival,,Worthy Farm,£97.00,The fence went up,Al / Donna / Mag / Dev / Meds / Stem,Y,Ash / Bush / Ed Harcourt / Idlewild / No Doubt / Belle and Sebestian / Air / Hundred Reasons / Groove Armada / Stereophonics / Coldplay / Rolf Harris / Mis-teeq / Fat Boy Slim / White Stripes,,26/06/2002Worthy Farm,Worthy Farm,2002,06,26
25/03/2003,Avril Lavigne,,Brixton Academy,£15.00,,Dev / Stem / Al,N,,,25/03/2003Brixton Academy,Brixton Academy,2003,03,25
17/04/2003,Hiding with girls,One Word Answer,Jumpin Jaks,£3.00,Supported by One Word Answer (Steve Moore's band),Dev / Al,N,,,17/04/2003Jumpin Jaks,Jumpin Jaks,2003,04,17
25/06/2003,Glastonbury Festival,,Worthy Farm,£105.00,Met Si McCarthy at the Pyramid before Radiohead,Al / Donna / Mag / Taylor / AD,Y,R.E.M / Idlewild / Nada Surf / Beth Orton / Yo La Tengo / Radiohead / Flaming Lips / The Streets / Grandaddy,,25/06/2003Worthy Farm,Worthy Farm,2003,06,25
02/07/2003,Androids,,Concorde 2,£6.00,,Al,N,,,02/07/2003Concorde 2,Concorde 2,2003,07,02
08/11/2003,Dashboard Confessional,,Shepherds Bush Empire,£12.00,,Dev / Stem / Al,N,,,08/11/2003Shepherd's Bush Empire,Shepherd's Bush Empire,2003,11,08
23/06/2004,Glastonbury Festival,,Worthy Farm,£112.00,Muddy,Donna / Al / Rob / Mag / Meds / Stem / AD / Taylor,Y,The Chemical Brothers / Snow Partol / Elbow / Bright Eyes / Billy Talent / Black Eyed Peas / Paul McCartney / Rilo Kiley / The Subways / Muse / Goldie Lookin' Chain,,23/06/2004Worthy Farm,Worthy Farm,2004,06,23
11/07/2004,Party in the park,,Hyde Park,£27.00,,Dev / Kate / Al,Y,Alanis Morissette / Anastacia / Avril Lavigne / Blue / Busted / Lenny Kravitz / McFly / Natasha Bedingfield / Nelly Furtado / Peter Andre / Sugarbabes / Will Young / The Corrs,,11/07/2004Hyde Park,Hyde Park,2004,07,11
07/06/2005,Weezer,,Vicar Street,EU32.00,,Dev / Al,N,,,07/06/2005Vicar Street,Vicar Street,2005,06,07
14/06/2005,Weezer,,Carling Academy,£26.50,Bootlegged,Dev / Al,N,,,14/06/2005Brixton Academy,Brixton Academy,2005,06,14
15/06/2005,Weezer,,Carling Academy,£26.50,,Dev / Al,N,,,15/06/2005Brixton Academy,Brixton Academy,2005,06,15
24/06/2005,Glastonbury Festival,,Worthy Farm,£125.00,Saw Little Liz play on Wednesday. Wild flooding - we had a stream flowing past our tent.,Mag / Dev / Al / Baillie / Donna,Y,The White Stripes / The Killers / Coldplay / Ash / Goldie Lookin Chain / Rilo Kiley / The Subways / Basement Jaxx / Brian Wilson / Van Morrison / Jools Holland / Cake / Bright Eyes,,24/06/2005Worthy Farm,Worthy Farm,2005,06,24
22/06/2007,Glastonbury Festival,,Worthy Farm,£145.00,Muddy,Meds / Dev / Al / Mag / Donna / Baillie,Y,Damien Rice / Bright Eyes / The Killers / Chemical Brothers / The Magic Numbers / Bloc Party,,22/06/2007Worthy Farm,Worthy Farm,2007,06,22
27/06/2008,Glastonbury Festival,,Worthy Farm,£175.00,,Meds / Dev / Al / Mag / Donna / Baillie / Phil / Taylor,Y,Seasick Steve / Lightspeed Champion / Hadouken! / Get Cape Wear Cape Fly / Jay-Z / Suzanne Vega / Manu Chau / King SOloman Burke,,27/06/2008Worthy Farm,Worthy Farm,2008,06,27
26/06/2009,Glastonbury Festival,,Worthy Farm,£185.00,Sally joined us - she had managed to buy a ticket from HMV just weeks beforehand. We kissed.,Baillie / Phil / Al / Donna / Dev / Meds / Mike / Sally / Stem / Taylor,Y,Bloc Party / Ting Tings / Rolf Harris / Dizzee Rascal / Lisa Hannigan / Seth Lakeman / Newton Faulkner / 2 Many DJs / Brand New / Enter Shikari / Roots Manuva / The Prodigy / Tom Jones / Madness / The Specials / Status Quo / Tony Christie,,26/06/2009Worthy Farm,Worthy Farm,2009,06,26
25/06/2010,Glastonbury Festival,,Worthy Farm,£195.00,,Sally / Dev / Al / Baillie / Meds / Donna / Mike,Y,Gorillaz / Dizzee Rascal / Snoop Dogg / Rolf Harris / Muse / Seasick Steve / Coheed and Cambria / Rordigo y Gabriella / Dan le Sac vs Scroobious pip / Frank Turner / Seth Lakeman / Stornoway / Biffy CLyro / I Blame Coco / Adam F / Snap / Ratpack,,25/06/2010Worthy Farm,Worthy Farm,2010,06,25
22/06/2011,Glastonbury Festival,,Worthy Farm,£205.00,Pulp and Radiohead were secret sets at The Park,Sally / Dev / Donna / Mike / Al / Phil / Stem / Sophie,Y,Beyonce / Pendulum / Jimmy Eat World / Pulp / Radiohead / Jessie J / Suzanne Vega / The Streets / Seth Lakeman / The Chemical Brothers / Eels,,22/06/2011Worthy Farm,Worthy Farm,2011,06,22
19/01/2013,The Beggars Collective,,Barfly Camden,£6.00,,Dev / Meds / Sally / Donna / Al,N,,,19/01/2013Barfly,Barfly,2013,01,19
08/06/2024,Weezer,The Smashing Pumpkins,The o2,£87.00,Hungout in Priority Lounge.  Met up with my MRN friends - Minority and Marjolaine.,Lizz / Dev / Al,N,,,08/06/2024The O2 Arena,The O2 Arena,2024,06,08
