Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day
19/04/2011,Thursday,,KCLSU,£18.00,,Dev / Rich,N,,,19/04/2011King's College London Student Union (KCLSU),King's College London Student Union (KCLSU),2011,04,19
27/05/2018,Slam Dunk Festival,,Hatfield House Park,£50.00,Four Year Strong played an acoustic set in the woods,Dev / Stem / Rich,Y,Good Charlotte / State Champs / Lower Than Atlantis / Moose Blood / Twin Atlantic / Say Anything / The Audition / Roam / As It Is / Zebrahead,,27/05/2018Hatfield House,Hatfield House,2018,05,27
26/05/2019,Slam Dunk Festival,,Hatfield House Park,£59.50,Busted played secret set billed as Y3K. James Bourne retweeted my tweet.,Dev / Stem / Rich,Y,NOFX / The Menzingers / New Found Glory / Neck Deep / Real Friends / Tigers Jaw / A loss for words / The Get Up Kids / The Bomb Pops / Busted,,26/05/2019Hatfield House,Hatfield House,2019,05,26
05/09/2021,Slam Dunk Festival,,Hatfield House Park,£65.00,Was on the rail for Frank Turner and a massive walking circle pit happened. Held in September due to Covid lockdown in May.,Meds / Laura / Gem / Phil / Dev / Stem / Rich,Y,A / McFly / Roam / As It Is / Mayday Parade / Statechamps / Frank Turner / Alkaline Trio / NOFX,,05/09/2021Hatfield House,Hatfield House,2021,09,05
04/06/2022,Slam Dunk Festival,,Hatfield House Park,£69.00,Lost my phone during Wonder Years (who played the whole of Upsides and Suburbia). Tested positive for Covid a few days later.,Phil / Gem / Dev / Rich,Y,Beauty School / Meet Me @ The Alter / Chunk No! Captain Chunk / Punk Rock Factory / Knucklepuck / The Wonder Years / The Story So Far,,04/06/2022Hatfield House,Hatfield House,2022,06,04
25/10/2023,Punk Rock Factory,,Concorde 2,£18.50,Went with Kate and Chris,Kate / Rich,N,,,25/10/2023Concorde 2,Concorde 2,2023,10,25
20/11/2024,Punk Rock Factory,,Chalk,£22.00,Bun bun is in the photo that came as a poster with the album,Kate / Rich,N,,,20/11/2024Chalk,Chalk,2024,11,20
14/02/2025,Bowling for Soup,Wheatus / Magnolia Park,Brighton Centre,£40.00,,Sally / Kate / Rich,N,,,14/02/2025Brighton Centre,Brighton Centre,2025,02,14
27/02/2025,Four Year Strong,,Chalk,£25.00,Went with Kate and Chris,Kate / Rich,N,,,27/02/2025Chalk,Chalk,2025,02,27
24/05/2025,Slam Dunk Festival,,Hatfield House Park,£135.00,Got on the rail centre stage for The Starting Line.,Dev / Stem / Rich,Y,Sweet Pill / Hit The Lights / Sophie Powers / Kid Bookie / Knucklepuck / Winona Fighter / Heart Attack Man / Movements / The Starting Line / The Ataris / Hot Mulligan / New Found Glory / Neck Deep / Alkaline Trio,,24/05/2025Hatfield House,Hatfield House,2025,05,24
13/12/2025,Million Dead,The Meffs,Chalk,£30.00,Went with Kate and Chris,Kate / Rich,N,,,13/12/2025Chalk,Chalk,2025,12,13
17/01/2026,The Wonder Years,Free Throw,o2 Kentish Town Forum,£37.50,No Closer To Heaven 10th Anniversary Tour.  Trains were a mess so had to drive to East Grinstead but it was worth it.,Kate / Rich / Dev / Stem,N,,,17/01/2026Kentish Town Forum,Kentish Town Forum,2026,01,17
17/04/2026,Frank Turner,,Chalk,£25.00,,Sally / Kate / Rich,N,,,17/04/2026Chalk,Chalk,2026,04,17
23/05/2026,Slam Dunk Festival,,Hatfield House Park,£131.50,,Stem / Dev / Rich,Y,,,23/05/2026Hatfield House,Hatfield House,2026,05,23
