Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day
28/08/1997,V97,,Hylands Park,£50.00,First festival,Meds / Rob / Stem / Kate / Dev,Y,Stereophonics / Radish / Blur / Prodigy,,28/08/1997Hylands Park,Hylands Park,1997,8,28
19/06/1998,Grimsby,Adagio,The Coach House,£-,"Med's band, supported by Adagio (Oli Pluck's band)",Meds / Stem / Dev / Kate,N,,,19/06/1998The Coach House Public House,The Coach House Public House,1998,6,19
09/04/1999,Snug,,West End Centre,£5.00,Bootlegged into Dev's dictaphone. Nearly got thrown out because security thought we were doing drugs in the toilet (we were actually setting up the mic),Dev / Stem / Meds,N,,,09/04/1999West End Centre,West End Centre,1999,4,9
22/12/1999,Snug,,Water Rats,£4.00,Acoustic,Dev / Stem / Meds,N,,,22/12/1999Monto Water Rats,Monto Water Rats,1999,12,22
21/06/2000,Glastonbury Festival,,Worthy Farm,£87.00,Backstage passes from Lizz who played New Bands tent with Justin Lewis Orchestra,Lizz / Stem / Meds / Dev,Y,David Bowie / Chemical Brothers / Bloodhound Gang / Semisonic / Jools Holland / Basement Jaxx / Idlewild / Feeder / Dandy Warhols / Flaming Lips,,21/06/2000Worthy Farm,Worthy Farm,2000,6,21
26/08/2000,Reading Festival,,Richfield Avenue,£80.00,,Dev / Stem / Meds / Will / Phil,Y,Daphne and Celeste / A / Blink 182 / Rage Against The Machine / Slipknot / Placebo / Stereophonics / Elliot Smith / Pulp / Beck / Idlewild / Deftones / Grandaddy / Limp Bizkit / Foo Fighters / Oasis / The Get Up Kids,,26/08/2000Little John's Farm,Little John's Farm,2000,8,26
24/08/2001,Reading Festival,,Richfield Avenue,£80.00,Ash played a cover of Only In Dreams,Dev / Meds / Phil,Y,Staind / Eminem / Marilyn Manson / Papa Roach / Xzbit / D12 / Alien Ant Farm / American HiFi / Green Day / Eels / Ash / Feeder,,24/08/2001Little John's Farm,Little John's Farm,2001,8,24
02/03/2002,Jason Donavon,,Warwick Student Union,£5.50,,Meds,N,,,02/03/2002Warwick Student Union,Warwick Student Union,2002,3,2
26/06/2002,Glastonbury Festival,,Worthy Farm,£97.00,The fence went up,Al / Donna / Mag / Dev / Meds / Stem,Y,Ash / Bush / Ed Harcourt / Idlewild / No Doubt / Belle and Sebestian / Air / Hundred Reasons / Groove Armada / Stereophonics / Coldplay / Rolf Harris / Mis-teeq / Fat Boy Slim / White Stripes,,26/06/2002Worthy Farm,Worthy Farm,2002,6,26
23/06/2004,Glastonbury Festival,,Worthy Farm,£112.00,Muddy,Donna / Al / Rob / Mag / Meds / Stem / AD / Taylor,Y,The Chemical Brothers / Snow Partol / Elbow / Bright Eyes / Billy Talent / Black Eyed Peas / Paul McCartney / Rilo Kiley / The Subways / Muse / Goldie Lookin' Chain,,23/06/2004Worthy Farm,Worthy Farm,2004,6,23
22/06/2007,Glastonbury Festival,,Worthy Farm,£145.00,Muddy,Meds / Dev / Al / Mag / Donna / Baillie,Y,Damien Rice / Bright Eyes / The Killers / Chemical Brothers / The Magic Numbers / Bloc Party,,22/06/2007Worthy Farm,Worthy Farm,2007,6,22
27/06/2008,Glastonbury Festival,,Worthy Farm,£175.00,,Meds / Dev / Al / Mag / Donna / Baillie / Phil / Taylor,Y,Seasick Steve / Lightspeed Champion / Hadouken! / Get Cape Wear Cape Fly / Jay-Z / Suzanne Vega / Manu Chau / King SOloman Burke,,27/06/2008Worthy Farm,Worthy Farm,2008,6,27
26/06/2009,Glastonbury Festival,,Worthy Farm,£185.00,Sally joined us - she had managed to buy a ticket from HMV just weeks beforehand. We kissed.,Baillie / Phil / Al / Donna / Dev / Meds / Mike / Sally / Stem / Taylor,Y,Bloc Party / Ting Tings / Rolf Harris / Dizzee Rascal / Lisa Hannigan / Seth Lakeman / Newton Faulkner / 2 Many DJs / Brand New / Enter Shikari / Roots Manuva / The Prodigy / Tom Jones / Madness / The Specials / Status Quo / Tony Christie,,26/06/2009Worthy Farm,Worthy Farm,2009,6,26
27/08/2009,Reading Festival,,Richfield Avenue,£175.00,,Dev / Meds / Phil,Y,Billy Talent / Rise Against / Radiohead,,27/08/2009Little John's Farm,Little John's Farm,2009,8,27
