Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day
20/02/2026,New Found Glory,,Grimey's,,Historical Artist Entry,The Fans,N,,,20/02/2026Grimey's,Grimey's,2026,02,20
20/02/2026,New Found Glory,,The End,,Historical Artist Entry,The Fans,N,,,20/02/2026The End,The End,2026,02,20
09/12/2025,New Found Glory,,The Station SC,,Historical Artist Entry,The Fans,N,,,09/12/2025The Station SC,The Station SC,2025,12,09
07/12/2025,New Found Glory,,Brisbane Showgrounds,,Historical Artist Entry,The Fans,N,,,07/12/2025Brisbane Showgrounds,Brisbane Showgrounds,2025,12,07
07/12/2025,New Found Glory,,Brisbane Showgrounds,,Historical Artist Entry,The Fans,N,,,07/12/2025Brisbane Showgrounds,Brisbane Showgrounds,2025,12,07
06/12/2025,New Found Glory,,ENGIE Stadium,,Historical Artist Entry,The Fans,N,,,06/12/2025ENGIE Stadium,ENGIE Stadium,2025,12,06
05/12/2025,New Found Glory,,Flemington Racecourse,,Historical Artist Entry,The Fans,N,,,05/12/2025Flemington Racecourse,Flemington Racecourse,2025,12,05
04/12/2025,New Found Glory,,Pier Bandroom,,Historical Artist Entry,The Fans,N,,,04/12/2025Pier Bandroom,Pier Bandroom,2025,12,04
03/12/2025,New Found Glory,,The Governor Hindmarsh Hotel,,Historical Artist Entry,The Fans,N,,,03/12/2025The Governor Hindmarsh Hotel,The Governor Hindmarsh Hotel,2025,12,03
18/10/2025,New Found Glory,,O2 Academy Brixton,,Historical Artist Entry,The Fans,N,,,18/10/2025O2 Academy Brixton,O2 Academy Brixton,2025,10,18
17/10/2025,New Found Glory,,O2 Academy Bournemouth,,Historical Artist Entry,The Fans,N,,,17/10/2025O2 Academy Bournemouth,O2 Academy Bournemouth,2025,10,17
15/10/2025,New Found Glory,,Rock City,,Historical Artist Entry,The Fans,N,,,15/10/2025Rock City,Rock City,2025,10,15
14/10/2025,New Found Glory,,O2 Academy Glasgow,,Historical Artist Entry,The Fans,N,,,14/10/2025O2 Academy Glasgow,O2 Academy Glasgow,2025,10,14
12/10/2025,New Found Glory,,O2 City Hall Newcastle,,Historical Artist Entry,The Fans,N,,,12/10/2025O2 City Hall Newcastle,O2 City Hall Newcastle,2025,10,12
11/10/2025,New Found Glory,,O2 Victoria Warehouse,,Historical Artist Entry,The Fans,N,,,11/10/2025O2 Victoria Warehouse,O2 Victoria Warehouse,2025,10,11
10/10/2025,New Found Glory,,O2 Academy,,Historical Artist Entry,The Fans,N,,,10/10/2025O2 Academy,O2 Academy,2025,10,10
06/10/2025,New Found Glory,,America Gardens Theatre,,Historical Artist Entry,The Fans,N,,,06/10/2025America Gardens Theatre,America Gardens Theatre,2025,10,06
06/10/2025,New Found Glory,,America Gardens Theatre,,Historical Artist Entry,The Fans,N,,,06/10/2025America Gardens Theatre,America Gardens Theatre,2025,10,06
06/10/2025,New Found Glory,,America Gardens Theatre,,Historical Artist Entry,The Fans,N,,,06/10/2025America Gardens Theatre,America Gardens Theatre,2025,10,06
05/10/2025,New Found Glory,,America Gardens Theatre,,Historical Artist Entry,The Fans,N,,,05/10/2025America Gardens Theatre,America Gardens Theatre,2025,10,05
05/10/2025,New Found Glory,,America Gardens Theatre,,Historical Artist Entry,The Fans,N,,,05/10/2025America Gardens Theatre,America Gardens Theatre,2025,10,05
05/10/2025,New Found Glory,,America Gardens Theatre,,Historical Artist Entry,The Fans,N,,,05/10/2025America Gardens Theatre,America Gardens Theatre,2025,10,05
07/09/2025,New Found Glory,,Ball Arena,,Historical Artist Entry,The Fans,N,,,07/09/2025Ball Arena,Ball Arena,2025,09,07
06/09/2025,New Found Glory,,Utah First Credit Union Amphitheatre,,Historical Artist Entry,The Fans,N,,,06/09/2025Utah First Credit Union Amphitheatre,Utah First Credit Union Amphitheatre,2025,09,06
04/09/2025,New Found Glory,,Cascades Amphitheater,,Historical Artist Entry,The Fans,N,,,04/09/2025Cascades Amphitheater,Cascades Amphitheater,2025,09,04
03/09/2025,New Found Glory,,White River Amphitheatre,,Historical Artist Entry,The Fans,N,,,03/09/2025White River Amphitheatre,White River Amphitheatre,2025,09,03
31/08/2025,New Found Glory,,Toyota Amphitheatre,,Historical Artist Entry,The Fans,N,,,31/08/2025Toyota Amphitheatre,Toyota Amphitheatre,2025,08,31
30/08/2025,New Found Glory,,Shoreline Amphitheatre,,Historical Artist Entry,The Fans,N,,,30/08/2025Shoreline Amphitheatre,Shoreline Amphitheatre,2025,08,30
29/08/2025,New Found Glory,,Kia Forum,,Historical Artist Entry,The Fans,N,,,29/08/2025Kia Forum,Kia Forum,2025,08,29
29/08/2025,New Found Glory,,Kia Forum,,Historical Artist Entry,The Fans,N,,,29/08/2025Kia Forum,Kia Forum,2025,08,29
27/08/2025,New Found Glory,,Talking Stick Resort Amphitheatre,,Historical Artist Entry,The Fans,N,,,27/08/2025Talking Stick Resort Amphitheatre,Talking Stick Resort Amphitheatre,2025,08,27
26/08/2025,New Found Glory,,Isleta Amphitheater,,Historical Artist Entry,The Fans,N,,,26/08/2025Isleta Amphitheater,Isleta Amphitheater,2025,08,26
24/08/2025,New Found Glory,,Germania Insurance Amphitheater,,Historical Artist Entry,The Fans,N,,,24/08/2025Germania Insurance Amphitheater,Germania Insurance Amphitheater,2025,08,24
23/08/2025,New Found Glory,,Cynthia Woods Mitchell Pavilion,,Historical Artist Entry,The Fans,N,,,23/08/2025Cynthia Woods Mitchell Pavilion,Cynthia Woods Mitchell Pavilion,2025,08,23
22/08/2025,New Found Glory,,Dos Equis Pavilion,,Historical Artist Entry,The Fans,N,,,22/08/2025Dos Equis Pavilion,Dos Equis Pavilion,2025,08,22
20/08/2025,New Found Glory,,Thunder Ridge Nature Arena,,Historical Artist Entry,The Fans,N,,,20/08/2025Thunder Ridge Nature Arena,Thunder Ridge Nature Arena,2025,08,20
18/08/2025,New Found Glory,,Ozark Music Hall,,Historical Artist Entry,The Fans,N,,,18/08/2025Ozark Music Hall,Ozark Music Hall,2025,08,18
17/08/2025,New Found Glory,,Hollywood Casino Amphitheatre,,Historical Artist Entry,The Fans,N,,,17/08/2025Hollywood Casino Amphitheatre,Hollywood Casino Amphitheatre,2025,08,17
