Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day
19/03/2026,Kate Nash,,Roundhouse,,Imported from setlist.fm,Unknown,N,,,19/03/2026Roundhouse,Roundhouse,2026,03,19
25/11/2025,English Teacher,,Roundhouse,,Imported from setlist.fm,Unknown,N,,,25/11/2025Roundhouse,Roundhouse,2025,11,25
23/08/2025,RAYE,,Victoria Park,,Imported from setlist.fm,Unknown,N,,,23/08/2025Victoria Park,Victoria Park,2025,08,23
28/06/2025,Glastonbury Festival,,Worthy Farm,,Imported from setlist.fm,Unknown,Y,Romy / Ezra Collective / The Script / Brandi Carlile / John Fogerty / Charli xcx / CMAT / RAYE / Pulp,,28/06/2025Worthy Farm,Worthy Farm,2025,06,28
27/06/2025,Glastonbury Festival,,Worthy Farm,,Imported from setlist.fm,Unknown,Y,Lewis Capaldi / Busta Rhymes / CMAT / Alanis Morissette / Gracie Abrams / Lorde / The 1975 / Wunderhorse / Wet Leg,,27/06/2025Worthy Farm,Worthy Farm,2025,06,27
14/06/2025,Parque da Cidade do Porto,,Parque da Cidade do Porto,,Imported from setlist.fm,Unknown,Y,Parcels / Floating Points / Turnstile / HAIM / Jamie xx,,14/06/2025Parque da Cidade do Porto,Parque da Cidade do Porto,2025,06,14
12/06/2025,Parque da Cidade do Porto,,Parque da Cidade do Porto,,Imported from setlist.fm,Unknown,Y,Fontaines D.C. / Charli xcx,,12/06/2025Parque da Cidade do Porto,Parque da Cidade do Porto,2025,06,12
30/06/2024,Glastonbury Festival,,Worthy Farm,,Imported from setlist.fm,Unknown,Y,Paloma Faith / Shania Twain / Confidence Man,,30/06/2024Worthy Farm,Worthy Farm,2024,06,30
29/06/2024,Glastonbury Festival,,Worthy Farm,,Imported from setlist.fm,Unknown,Y,Little Simz / Coldplay,,29/06/2024Worthy Farm,Worthy Farm,2024,06,29
28/06/2024,Glastonbury Festival,,Worthy Farm,,Imported from setlist.fm,Unknown,Y,Confidence Man / Dua Lipa,,28/06/2024Worthy Farm,Worthy Farm,2024,06,28
30/05/2024,Taylor Swift,,Estadio Santiago Bernabeu,,Imported from setlist.fm,Unknown,N,,,30/05/2024Estadio Santiago Bernabeu,Estadio Santiago Bernabeu,2024,05,30
15/07/2022,Sam Fender,,Finsbury Park,,Imported from setlist.fm,Unknown,N,,,15/07/2022Finsbury Park,Finsbury Park,2022,07,15
18/06/2022,Harry Styles,,Wembley Stadium,,Imported from setlist.fm,Unknown,N,,,18/06/2022Wembley Stadium,Wembley Stadium,2022,06,18
19/05/2022,MEUTE,,Debaser Hornstull Strand,,Imported from setlist.fm,Unknown,N,,,19/05/2022Debaser Hornstull Strand,Debaser Hornstull Strand,2022,05,19
16/03/2022,Alfie Templeman,,O2 Shepherd's Bush Empire,,Imported from setlist.fm,Unknown,N,,,16/03/2022O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,2022,03,16
18/02/2022,Wolf Alice,,Eventim Apollo,,Imported from setlist.fm,Unknown,N,,,18/02/2022Eventim Apollo,Eventim Apollo,2022,02,18
11/10/2019,Bon Iver,,Barclays Center,,Imported from setlist.fm,Unknown,N,,,11/10/2019Barclays Center,Barclays Center,2019,10,11
08/10/2019,Bombay Bicycle Club,,Brooklyn Steel,,Imported from setlist.fm,Unknown,N,,,08/10/2019Brooklyn Steel,Brooklyn Steel,2019,10,08
12/09/2018,Arctic Monkeys,,The O2 Arena,,Imported from setlist.fm,Unknown,N,,,12/09/2018The O2 Arena,The O2 Arena,2018,09,12
19/06/2018,The Rolling Stones,,Twickenham Stadium,,Imported from setlist.fm,Unknown,N,,,19/06/2018Twickenham Stadium,Twickenham Stadium,2018,06,19
15/06/2018,JAŸ-Z & Beyoncé,,London Stadium,,Imported from setlist.fm,Unknown,N,,,15/06/2018London Stadium,London Stadium,2018,06,15
03/04/2018,George Ezra,,O2 Academy Brixton,,Imported from setlist.fm,Unknown,N,,,03/04/2018O2 Academy Brixton,O2 Academy Brixton,2018,04,03
01/10/2016,Red Hot Chili Peppers,,Palau Sant Jordi,,Imported from setlist.fm,Unknown,N,,,01/10/2016Palau Sant Jordi,Palau Sant Jordi,2016,10,01
07/06/2014,One Direction,,Wembley Stadium,,Imported from setlist.fm,Unknown,N,,,07/06/2014Wembley Stadium,Wembley Stadium,2014,06,07
08/02/2014,Tom Odell,,O2 Academy Brixton,,Imported from setlist.fm,Unknown,N,,,08/02/2014O2 Academy Brixton,O2 Academy Brixton,2014,02,08
