Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day
13/08/2025,Shannon and the Clams,Alabama Shakes,Hollywood Bowl,,Imported from setlist.fm,Unknown,N,,,13/08/2025Hollywood Bowl,Hollywood Bowl,2025,08,13
29/04/2024,Weezer,,Constellation Room,,Imported from setlist.fm,Unknown,N,,,29/04/2024Constellation Room,Constellation Room,2024,04,29
13/04/2024,Mariah Carey,,Dolby Live at Park MGM,,Imported from setlist.fm,Unknown,N,,,13/04/2024Dolby Live at Park MGM,Dolby Live at Park MGM,2024,04,13
15/03/2024,Weezer,Dogstar,Lodge Room,,Imported from setlist.fm,Unknown,N,,,15/03/2024Lodge Room,Lodge Room,2024,03,15
02/03/2024,U2,,Sphere at The Venetian Resort,,Imported from setlist.fm,Unknown,N,,,02/03/2024Sphere at The Venetian Resort,Sphere at The Venetian Resort,2024,03,02
01/03/2024,Madonna,,T-Mobile Arena,,Imported from setlist.fm,Unknown,N,,,01/03/2024T-Mobile Arena,T-Mobile Arena,2024,03,01
14/02/2024,Rooney,,Teragram Ballroom,,Imported from setlist.fm,Unknown,N,,,14/02/2024Teragram Ballroom,Teragram Ballroom,2024,02,14
02/09/2023,Lady Gaga,,Dolby Live at Park MGM,,Imported from setlist.fm,Unknown,N,,,02/09/2023Dolby Live at Park MGM,Dolby Live at Park MGM,2023,09,02
01/09/2023,Weezer,,Bakkt Theater,,Imported from setlist.fm,Unknown,N,,,01/09/2023Bakkt Theater,Bakkt Theater,2023,09,01
24/04/2023,Weezer,,The Glass House,,Imported from setlist.fm,Unknown,N,,,24/04/2023The Glass House,The Glass House,2023,04,24
15/03/2023,Weezer,,The Roxy,,Imported from setlist.fm,Unknown,N,,,15/03/2023The Roxy,The Roxy,2023,03,15
08/02/2023,Weezer,"Beck, Fall Out Boy, Foster the People, Mumford & Sons, Charlie Puth, Pentatonix, Take 6, Andy Grammer, Luke Spiller, LeAnn Rimes, Little Big Town, Jim James, My Morning Jacket, Norah Jones, St. Vincent, Lady A, Brandi Carlile, Hanson, John Legend",Dolby Theatre,,Imported from setlist.fm,Unknown,N,,,08/02/2023Dolby Theatre,Dolby Theatre,2023,02,08
03/02/2023,Rivers Cuomo,,Harvelle's,,Imported from setlist.fm,Unknown,N,,,03/02/2023Harvelle's,Harvelle's,2023,02,03
02/02/2023,Rivers Cuomo,,Harvelle's,,Imported from setlist.fm,Unknown,N,,,02/02/2023Harvelle's,Harvelle's,2023,02,02
09/11/2022,Charlie Puth,,The Theatre at Ace Hotel,,Imported from setlist.fm,Unknown,N,,,09/11/2022The Theatre at Ace Hotel,The Theatre at Ace Hotel,2022,11,09
22/10/2022,Weezer,"Alanis Morissette, Halsey, OneRepublic, Tate McRae, Garbage",Hollywood Bowl,,Imported from setlist.fm,Unknown,N,,,22/10/2022Hollywood Bowl,Hollywood Bowl,2022,10,22
21/09/2022,Weezer,,Jimmy Kimmel Live,,Imported from setlist.fm,Unknown,N,,,21/09/2022Jimmy Kimmel Live,Jimmy Kimmel Live,2022,09,21
19/09/2022,Weezer,,Troubadour,,Imported from setlist.fm,Unknown,N,,,19/09/2022Troubadour,Troubadour,2022,09,19
13/05/2022,Weezer,,Redondo Beach Pier,,Imported from setlist.fm,Unknown,N,,,13/05/2022Redondo Beach Pier,Redondo Beach Pier,2022,05,13
13/05/2022,Milky Chance,Black Pumas,Seaside Lagoon,,Imported from setlist.fm,Unknown,N,,,13/05/2022Seaside Lagoon,Seaside Lagoon,2022,05,13
05/01/2022,Weezer,,Toshiba Plaza,,Imported from setlist.fm,Unknown,N,,,05/01/2022Toshiba Plaza,Toshiba Plaza,2022,01,05
18/09/2021,Weezer,,Silverado Resort and Spa,,Imported from setlist.fm,Unknown,N,,,18/09/2021Silverado Resort and Spa,Silverado Resort and Spa,2021,09,18
03/09/2021,Weezer,"Green Day, Fall Out Boy",Dodger Stadium,,Imported from setlist.fm,Unknown,N,,,03/09/2021Dodger Stadium,Dodger Stadium,2021,09,03
24/07/2021,Weezer,"Green Day, Fall Out Boy, The Interrupters",Globe Life Field,,Imported from setlist.fm,Unknown,N,,,24/07/2021Globe Life Field,Globe Life Field,2021,07,24
02/11/2019,OK Go,,Younes and Soraya Nazarian Center For The Performing Arts,,Imported from setlist.fm,Unknown,N,,,02/11/2019Younes and Soraya Nazarian Center For The Performing Arts,Younes and Soraya Nazarian Center For The Performing Arts,2019,11,02
10/09/2019,Weezer,"Green Day, Fall Out Boy",Whisky A Go Go,,Imported from setlist.fm,Unknown,N,,,10/09/2019Whisky A Go Go,Whisky A Go Go,2019,09,10
15/04/2019,Weezer,,Jimmy Kimmel Live,,Imported from setlist.fm,Unknown,N,,,15/04/2019Jimmy Kimmel Live,Jimmy Kimmel Live,2019,04,15
24/03/2019,Andrew McMahon in the Wilderness,"Grizfolk, flor",House of Blues,,Imported from setlist.fm,Unknown,N,,,24/03/2019House of Blues,House of Blues,2019,03,24
19/01/2019,Weezer,"The Killers, Rise Against, Bishop Briggs, Muse",Los Angeles Forum,,Imported from setlist.fm,Unknown,N,,,19/01/2019Los Angeles Forum,Los Angeles Forum,2019,01,19
18/12/2018,Weezer,"Beck, HAIM, Father John Misty, Jenny Lewis, Nate Ruess",The Theatre at Ace Hotel,,Imported from setlist.fm,Unknown,N,,,18/12/2018The Theatre at Ace Hotel,The Theatre at Ace Hotel,2018,12,18
11/12/2018,Nine Inch Nails,,Hollywood Palladium,,Imported from setlist.fm,Unknown,N,,,11/12/2018Hollywood Palladium,Hollywood Palladium,2018,12,11
08/08/2018,Weezer,,Los Angeles Forum,,Imported from setlist.fm,Unknown,N,,,08/08/2018Los Angeles Forum,Los Angeles Forum,2018,08,08
11/06/2018,Weezer,,Jimmy Kimmel Live,,Imported from setlist.fm,Unknown,N,,,11/06/2018Jimmy Kimmel Live,Jimmy Kimmel Live,2018,06,11
30/05/2018,Rivers Cuomo,,Troubadour,,Imported from setlist.fm,Unknown,N,,,30/05/2018Troubadour,Troubadour,2018,05,30
18/05/2018,Taylor Swift,,Rose Bowl,,Imported from setlist.fm,Unknown,N,,,18/05/2018Rose Bowl,Rose Bowl,2018,05,18
10/05/2018,Weezer,,The Lounge,,Imported from setlist.fm,Unknown,N,,,10/05/2018The Lounge,The Lounge,2018,05,10
09/05/2018,Rivers Cuomo,,Bottom of the Hill,,Imported from setlist.fm,Unknown,N,,,09/05/2018Bottom of the Hill,Bottom of the Hill,2018,05,09
01/05/2018,The Fratellis,,The Belasco,,Imported from setlist.fm,Unknown,N,,,01/05/2018The Belasco,The Belasco,2018,05,01
10/03/2018,Rivers Cuomo,,The Hi-Hat,,Imported from setlist.fm,Unknown,N,,,10/03/2018The Hi-Hat,The Hi-Hat,2018,03,10
31/12/2017,Foo Fighters,,The Chelsea,,Imported from setlist.fm,Unknown,N,,,31/12/2017The Chelsea,The Chelsea,2017,12,31
30/12/2017,Duran Duran,,The Chelsea,,Imported from setlist.fm,Unknown,N,,,30/12/2017The Chelsea,The Chelsea,2017,12,30
29/12/2017,Zac Brown Band,,The Cosmopolitan of Las Vegas,,Imported from setlist.fm,Unknown,N,,,29/12/2017The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,2017,12,29
10/12/2017,Weezer,"Foster the People, The Killers, The Lumineers, Phoenix, WALK THE MOON",Los Angeles Forum,,Imported from setlist.fm,Unknown,N,,,10/12/2017Los Angeles Forum,Los Angeles Forum,2017,12,10
04/11/2017,OK Go,,Royce Hall,,Imported from setlist.fm,Unknown,N,,,04/11/2017Royce Hall,Royce Hall,2017,11,04
02/11/2017,Weezer,,Winston House,,Imported from setlist.fm,Unknown,N,,,02/11/2017Winston House,Winston House,2017,11,02
