Date,Band,Notable Support,Venue,Price,Comments,Went With,Festival?,Festival Lineups,Photos,Journal Key,OfficialVenue,Year,Month,Day
07/12/2025,Weezer,,Brisbane Showgrounds,,Historical Artist Entry,The Fans,N,,,07/12/2025Brisbane Showgrounds,Brisbane Showgrounds,2025,12,07
06/12/2025,Weezer,,ENGIE Stadium,,Historical Artist Entry,The Fans,N,,,06/12/2025ENGIE Stadium,ENGIE Stadium,2025,12,06
05/12/2025,Weezer,,Flemington Racecourse,,Historical Artist Entry,The Fans,N,,,05/12/2025Flemington Racecourse,Flemington Racecourse,2025,12,05
16/11/2025,Weezer,,Autódromo Hermanos Rodríguez,,Historical Artist Entry,The Fans,N,,,16/11/2025Autódromo Hermanos Rodríguez,Autódromo Hermanos Rodríguez,2025,11,16
07/11/2025,Weezer,,Ciudad Empresarial,,Historical Artist Entry,The Fans,N,,,07/11/2025Ciudad Empresarial,Ciudad Empresarial,2025,11,07
05/11/2025,Weezer,,Movistar Arena,,Historical Artist Entry,The Fans,N,,,05/11/2025Movistar Arena,Movistar Arena,2025,11,05
02/11/2025,Weezer,,Parque do Ibirapuera,,Historical Artist Entry,The Fans,N,,,02/11/2025Parque do Ibirapuera,Parque do Ibirapuera,2025,11,02
19/10/2025,Weezer,,Las Vegas Festival Grounds,,Historical Artist Entry,The Fans,N,,,19/10/2025Las Vegas Festival Grounds,Las Vegas Festival Grounds,2025,10,19
18/10/2025,Weezer,,Las Vegas Festival Grounds,,Historical Artist Entry,The Fans,N,,,18/10/2025Las Vegas Festival Grounds,Las Vegas Festival Grounds,2025,10,18
28/09/2025,Weezer,,Ocean City Inlet Beach,,Historical Artist Entry,The Fans,N,,,28/09/2025Ocean City Inlet Beach,Ocean City Inlet Beach,2025,09,28
20/09/2025,Weezer,,Douglass Park,,Historical Artist Entry,The Fans,N,,,20/09/2025Douglass Park,Douglass Park,2025,09,20
10/09/2025,Weezer,,MGM Music Hall at Fenway,,Historical Artist Entry,The Fans,N,,,10/09/2025MGM Music Hall at Fenway,MGM Music Hall at Fenway,2025,09,10
30/08/2025,Weezer,,"Fountain Stage, Seattle Center",,Historical Artist Entry,The Fans,N,,,"30/08/2025Fountain Stage, Seattle Center","Fountain Stage, Seattle Center",2025,08,30
20/07/2025,Weezer,,Harrah's Stir Cove,,Historical Artist Entry,The Fans,N,,,20/07/2025Harrah's Stir Cove,Harrah's Stir Cove,2025,07,20
19/07/2025,Weezer,,Harriet Island Regional Park,,Historical Artist Entry,The Fans,N,,,19/07/2025Harriet Island Regional Park,Harriet Island Regional Park,2025,07,19
12/07/2025,Weezer,,Edmonton Exhibition Lands Racetrack Infield,,Historical Artist Entry,The Fans,N,,,12/07/2025Edmonton Exhibition Lands Racetrack Infield,Edmonton Exhibition Lands Racetrack Infield,2025,07,12
10/07/2025,Weezer,,Iberdrola Music,,Historical Artist Entry,The Fans,N,,,10/07/2025Iberdrola Music,Iberdrola Music,2025,07,10
09/07/2025,Weezer,,Razzmatazz,,Historical Artist Entry,The Fans,N,,,09/07/2025Razzmatazz,Razzmatazz,2025,07,09
06/07/2025,Weezer,,Le Zénith,,Historical Artist Entry,The Fans,N,,,06/07/2025Le Zénith,Le Zénith,2025,07,06
04/07/2025,Weezer,,Main Stage,,Historical Artist Entry,The Fans,N,,,04/07/2025Main Stage,Main Stage,2025,07,04
02/07/2025,Weezer,,Trinity College Dublin,,Historical Artist Entry,The Fans,N,,,02/07/2025Trinity College Dublin,Trinity College Dublin,2025,07,02
30/06/2025,Weezer,,The Piece Hall,,Historical Artist Entry,The Fans,N,,,30/06/2025The Piece Hall,The Piece Hall,2025,06,30
29/06/2025,Weezer,,Crystal Palace Park,,Historical Artist Entry,The Fans,N,,,29/06/2025Crystal Palace Park,Crystal Palace Park,2025,06,29
28/06/2025,Weezer,,Worthy Farm,,Historical Artist Entry,The Fans,N,,,28/06/2025Worthy Farm,Worthy Farm,2025,06,28
26/06/2025,Weezer,,Ekebergsletta,,Historical Artist Entry,The Fans,N,,,26/06/2025Ekebergsletta,Ekebergsletta,2025,06,26
24/06/2025,Weezer,,Gärdet,,Historical Artist Entry,The Fans,N,,,24/06/2025Gärdet,Gärdet,2025,06,24
22/06/2025,Weezer,,Store Vega,,Historical Artist Entry,The Fans,N,,,22/06/2025Store Vega,Store Vega,2025,06,22
20/06/2025,Weezer,,Megaland,,Historical Artist Entry,The Fans,N,,,20/06/2025Megaland,Megaland,2025,06,20
19/06/2025,Weezer,,Alsterdorfer Sporthalle,,Historical Artist Entry,The Fans,N,,,19/06/2025Alsterdorfer Sporthalle,Alsterdorfer Sporthalle,2025,06,19
17/06/2025,Weezer,,Halle 622,,Historical Artist Entry,The Fans,N,,,17/06/2025Halle 622,Halle 622,2025,06,17
15/06/2025,Weezer,,Visarno Arena Firenze,,Historical Artist Entry,The Fans,N,,,15/06/2025Visarno Arena Firenze,Visarno Arena Firenze,2025,06,15
13/06/2025,Weezer,,Apex Stage,,Historical Artist Entry,The Fans,N,,,13/06/2025Apex Stage,Apex Stage,2025,06,13
10/06/2025,Weezer,,Columbiahalle,,Historical Artist Entry,The Fans,N,,,10/06/2025Columbiahalle,Columbiahalle,2025,06,10
08/06/2025,Weezer,,Utopia Stage,,Historical Artist Entry,The Fans,N,,,08/06/2025Utopia Stage,Utopia Stage,2025,06,08
06/06/2025,Weezer,,Utopia Stage,,Historical Artist Entry,The Fans,N,,,06/06/2025Utopia Stage,Utopia Stage,2025,06,06
05/06/2025,Weezer,,Eskelunden,,Historical Artist Entry,The Fans,N,,,05/06/2025Eskelunden,Eskelunden,2025,06,05
24/05/2025,Weezer,,Mizner Park Amphitheater,,Historical Artist Entry,The Fans,N,,,24/05/2025Mizner Park Amphitheater,Mizner Park Amphitheater,2025,05,24
17/05/2025,Weezer,,Utah State Fairpark,,Historical Artist Entry,The Fans,N,,,17/05/2025Utah State Fairpark,Utah State Fairpark,2025,05,17
03/05/2025,Weezer,,Uptown,,Historical Artist Entry,The Fans,N,,,03/05/2025Uptown,Uptown,2025,05,03
12/04/2025,Weezer,,Empire Polo Club,,Historical Artist Entry,The Fans,N,,,12/04/2025Empire Polo Club,Empire Polo Club,2025,04,12
08/01/2025,Weezer,,Aichi-ken Geijutsu Gekijou,,Historical Artist Entry,The Fans,N,,,08/01/2025Aichi-ken Geijutsu Gekijou,Aichi-ken Geijutsu Gekijou,2025,01,08
07/01/2025,Weezer,,Zepp Osaka Bayside,,Historical Artist Entry,The Fans,N,,,07/01/2025Zepp Osaka Bayside,Zepp Osaka Bayside,2025,01,07
05/01/2025,Weezer,,Hall 7-8,,Historical Artist Entry,The Fans,N,,,05/01/2025Hall 7-8,Hall 7-8,2025,01,05
13/12/2024,Weezer,,Moon Palace Cancun Resort,,Historical Artist Entry,The Fans,N,,,13/12/2024Moon Palace Cancun Resort,Moon Palace Cancun Resort,2024,12,13
05/12/2024,Weezer,,Las Vegas Festival Grounds,,Historical Artist Entry,The Fans,N,,,05/12/2024Las Vegas Festival Grounds,Las Vegas Festival Grounds,2024,12,05
16/11/2024,Weezer,,Chase Field,,Historical Artist Entry,The Fans,N,,,16/11/2024Chase Field,Chase Field,2024,11,16
12/10/2024,Weezer,,Acrisure Arena,,Historical Artist Entry,The Fans,N,,,12/10/2024Acrisure Arena,Acrisure Arena,2024,10,12
11/10/2024,Weezer,,Intuit Dome,,Historical Artist Entry,The Fans,N,,,11/10/2024Intuit Dome,Intuit Dome,2024,10,11
09/10/2024,Weezer,,Chase Center,,Historical Artist Entry,The Fans,N,,,09/10/2024Chase Center,Chase Center,2024,10,09
08/10/2024,Weezer,,Golden 1 Center,,Historical Artist Entry,The Fans,N,,,08/10/2024Golden 1 Center,Golden 1 Center,2024,10,08
06/10/2024,Weezer,,Moda Center,,Historical Artist Entry,The Fans,N,,,06/10/2024Moda Center,Moda Center,2024,10,06
05/10/2024,Weezer,,Rogers Arena,,Historical Artist Entry,The Fans,N,,,05/10/2024Rogers Arena,Rogers Arena,2024,10,05
04/10/2024,Weezer,,Climate Pledge Arena,,Historical Artist Entry,The Fans,N,,,04/10/2024Climate Pledge Arena,Climate Pledge Arena,2024,10,04
01/10/2024,Weezer,,Blue Arena,,Historical Artist Entry,The Fans,N,,,01/10/2024Blue Arena,Blue Arena,2024,10,01
29/09/2024,Weezer,,American Airlines Center,,Historical Artist Entry,The Fans,N,,,29/09/2024American Airlines Center,American Airlines Center,2024,09,29
28/09/2024,Weezer,,Toyota Center,,Historical Artist Entry,The Fans,N,,,28/09/2024Toyota Center,Toyota Center,2024,09,28
27/09/2024,Weezer,,Moody Center,,Historical Artist Entry,The Fans,N,,,27/09/2024Moody Center,Moody Center,2024,09,27
21/09/2024,Weezer,,Hard Rock Live,,Historical Artist Entry,The Fans,N,,,21/09/2024Hard Rock Live,Hard Rock Live,2024,09,21
20/09/2024,Weezer,,Kia Center,,Historical Artist Entry,The Fans,N,,,20/09/2024Kia Center,Kia Center,2024,09,20
18/09/2024,Weezer,,Bon Secours Wellness Arena,,Historical Artist Entry,The Fans,N,,,18/09/2024Bon Secours Wellness Arena,Bon Secours Wellness Arena,2024,09,18
17/09/2024,Weezer,,Bridgestone Arena,,Historical Artist Entry,The Fans,N,,,17/09/2024Bridgestone Arena,Bridgestone Arena,2024,09,17
15/09/2024,Weezer,,The Anthem,,Historical Artist Entry,The Fans,N,,,15/09/2024The Anthem,The Anthem,2024,09,15
14/09/2024,Weezer,,The Anthem,,Historical Artist Entry,The Fans,N,,,14/09/2024The Anthem,The Anthem,2024,09,14
13/09/2024,Weezer,,Wells Fargo Center,,Historical Artist Entry,The Fans,N,,,13/09/2024Wells Fargo Center,Wells Fargo Center,2024,09,13
11/09/2024,Weezer,,Madison Square Garden,,Historical Artist Entry,The Fans,N,,,11/09/2024Madison Square Garden,Madison Square Garden,2024,09,11
10/09/2024,Weezer,,TD Garden,,Historical Artist Entry,The Fans,N,,,10/09/2024TD Garden,TD Garden,2024,09,10
08/09/2024,Weezer,,Scotiabank Arena,,Historical Artist Entry,The Fans,N,,,08/09/2024Scotiabank Arena,Scotiabank Arena,2024,09,08
07/09/2024,Weezer,,Nationwide Arena,,Historical Artist Entry,The Fans,N,,,07/09/2024Nationwide Arena,Nationwide Arena,2024,09,07
06/09/2024,Weezer,,Allstate Arena,,Historical Artist Entry,The Fans,N,,,06/09/2024Allstate Arena,Allstate Arena,2024,09,06
04/09/2024,Weezer,,Xcel Energy Center,,Historical Artist Entry,The Fans,N,,,04/09/2024Xcel Energy Center,Xcel Energy Center,2024,09,04
24/06/2024,Weezer,,Budweiser Stage,,Historical Artist Entry,The Fans,N,,,24/06/2024Budweiser Stage,Budweiser Stage,2024,06,24
14/06/2024,Weezer,,Cardiff Castle,,Historical Artist Entry,The Fans,N,,,14/06/2024Cardiff Castle,Cardiff Castle,2024,06,14
13/06/2024,Weezer,,Co-op Live,,Historical Artist Entry,The Fans,N,,,13/06/2024Co-op Live,Co-op Live,2024,06,13
12/06/2024,Weezer,,The OVO Hydro,,Historical Artist Entry,The Fans,N,,,12/06/2024The OVO Hydro,The OVO Hydro,2024,06,12
10/06/2024,Weezer,,3Arena,,Historical Artist Entry,The Fans,N,,,10/06/20243Arena,3Arena,2024,06,10
08/06/2024,Weezer,,The O2 Arena,,Historical Artist Entry,The Fans,N,,,08/06/2024The O2 Arena,The O2 Arena,2024,06,08
07/06/2024,Weezer,,Utilita Arena Birmingham,,Historical Artist Entry,The Fans,N,,,07/06/2024Utilita Arena Birmingham,Utilita Arena Birmingham,2024,06,07
01/06/2024,Weezer,,Naval Base San Diego,,Historical Artist Entry,The Fans,N,,,01/06/2024Naval Base San Diego,Naval Base San Diego,2024,06,01
13/05/2024,Weezer,,Spotify Studios,,Historical Artist Entry,The Fans,N,,,13/05/2024Spotify Studios,Spotify Studios,2024,05,13
