VenueID,OfficialName,PlaceID,District,City,Latitude,Longitude,Capacity,AlternativeNames
1,West End Centre,ChIJyTt8_LwsdEgRZVl8J1uvmVI,,Aldershot,51.2492128,-0.7973082,150,
2,Lakewood Amphitheatre,ChIJhyDR4lcC9YgRPgyqKCKfCOo,,Atlanta,33.692992,-84.4371643,"18,920",Lakewood Amphitheatre / HiFi Buys Amphitheatre
3,Academy Birmingham,ChIJbeJYcWG8cEgR4jbwFppZ4h4,,Birmingham,52.4732915,-1.9024704,3000,O2 Academy Birmingham / Carling Academy / Academy Birmingham
4,National Indoor Arena,ChIJT_6G8vC8cEgR4G7WHLkHHQo,,Birmingham,52.4796988,-1.9173727,"15,800",Utilita Arena Birmingham / National Indoor Arena
5,Brighton Centre,ChIJe8QstQ2FdUgRmZu62Xx4mOU,,Brighton,50.8212322,-0.1490484,5000,
6,Brighton Open Air Theatre,ChIJU4hF6WWFdUgRzwYOHYC-Y9g,,Brighton,50.8363216,-0.1563236,400,
7,Chalk,ChIJWe2JRvCFdUgRTpMG46n-PsU,,Brighton,50.8363211,-0.1640484,900,
8,Concorde 2,ChIJo3wfUKGFdUgRQNAo03TkNIk,,Brighton,50.8172782,-0.1251001,600,
9,Patterns,ChIJT84AKaGFdUgRusg2kAEmTcI,,Brighton,50.8200291,-0.1376695,580,
10,The Freebutt,ChIJzRbkvp6FdUgRLlPC8uk7Nq4,,Brighton,50.8288397,-0.1355675,150,
11,The Hope and Ruin,ChIJwd8eVQuFdUgRnO985SnWMls,,Brighton,50.824759,-0.1457206,150,
12,Brixton Academy,ChIJL1UqD2cEdkgRidF8HHIq4fQ,Brixton,London,51.4651626,-0.122871,5000,Brixton Academy / Carling Academy Brixton / O2 Academy Brixton / Academy Brixton
13,KOKO,ChIJP63vNSAbdkgR5gk8mcL7EqQ,Camden,London,51.5347376,-0.1431282,1500,
14,Dingwalls,ChIJL6Ksh_IbdkgRMp_R13W_2-8,Camden,London,51.5412456,-0.146409,600,
15,Electric Ballroom,ChIJv6G7F_MbdkgR2Gf6YmO_P_I,Camden,London,51.5397,-0.1455749,1500,
16,Hylands Park,ChIJ-VInA8iZ2EcRpT7vP8y_P_I,,Chelmsford,51.714104,0.4308577,30000,
